"CH1:1x_x","CH1:1x_y","CH1:2x_x","CH1:2x_y","CH1:4x_x","CH1:4x_y","CH1:5x_x","CH1:5x_y","CH1:8x_x","CH1:8x_y","CH1:10x_x","CH1:10x_y","CH1:16x_x","CH1:16x_y","CH1:32x_x","CH1:32x_y","CH2:1x_x","CH2:1x_y","CH2:2x_x","CH2:2x_y","CH2:4x_x","CH2:4x_y","CH2:5x_x","CH2:5x_y","CH2:8x_x","CH2:8x_y","CH2:10x_x","CH2:10x_y","CH2:16x_x","CH2:16x_y","CH2:32x_x","CH2:32x_y"
1920,-0.1634689,1920,-0.1819332,1920,-0.1909198,1920,-0.192636,2700,1.081164,2970,1.515613, , , , ,1920,-0.2241603,1920,-0.2376559,1920,-0.2445813,1920,-0.2453594,2700,1.025846,2970,1.458185, , , , ,
1950,-0.1148654,1950,-0.1334556,1950,-0.1421576,1950,-0.1443387,2730,1.130169,3000,1.564031, , , , ,1950,-0.1761259,1950,-0.1894629,1950,-0.1958871,1950,-0.1972092,2730,1.074836,3000,1.506884, , , , ,
1980,-0.066413,1980,-0.08460279,1980,-0.09376316,1980,-0.09575037,2760,1.178808,3030,1.613223, , , , ,1980,-0.127331,1980,-0.1409022,1980,-0.1476161,1980,-0.1487367,2760,1.123439,3030,1.555443, , , , ,
2010,-0.01683242,2010,-0.03452106,2010,-0.04364492,2010,-0.04559661,2790,1.226311,3060,1.641136, , , , ,2010,-0.07782601,2010,-0.09103205,2010,-0.09770307,2010,-0.09904634,2790,1.170907,3060,1.604308, , , , ,
2040,0.03261218,2040,0.01466667,2040,0.006012477,2040,0.003905403,2820,1.274423, , , , , , ,2040,-0.02785256,2040,-0.04129785,2040,-0.04766918,2040,-0.04923104,2820,1.21856, , , , , , ,
2070,0.08149771,2070,0.06364538,2070,0.055034,2070,0.0530619,2850,1.323171, , , , , , ,2070,0.01995009,2070,0.007539835,2070,0.000943109,2070,-0.0001752747,2850,1.267533, , , , , , ,
2100,0.1300659,2100,0.1120852,2100,0.1033605,2100,0.1016745,2880,1.372523, , , , , , ,2100,0.06853342,2100,0.05539789,2100,0.04938038,2100,0.04787619,2880,1.316575, , , , , , ,
2130,0.1785838,2130,0.1609279,2130,0.1522787,2130,0.150429,2910,1.421449, , , , , , ,2130,0.1167944,2130,0.1044572,2130,0.0982785,2130,0.09672344,2910,1.365365, , , , , , ,
2160,0.2273736,2160,0.209622,2160,0.2009427,2160,0.199232,2940,1.470504, , , , , , ,2160,0.1655087,2160,0.1528466,2160,0.1469462,2160,0.1455808,2940,1.414543, , , , , , ,
2190,0.2766168,2190,0.2585705,2190,0.2498597,2190,0.2479462,2970,1.519355, , , , , , ,2190,0.2143892,2190,0.2018505,2190,0.1958342,2190,0.1942638,2970,1.463038, , , , , , ,
